ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_son24
2024,09,1811901,1,0026,1,1,20240918119011002611,1,1,1,1,2, ,2,33,1,1,18,2,1991,1, , , , , , , , , , , , , , , ,120,8423,3,1, , ,5,1000,6,12,7,0,17,7,0,49, ,49,1, ,2, ,2,2,4,4000,15, , , , , , , , , , , , , ,2,4,2, ,2, ,2, ,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,11,5, ,2,2,2,2,2,2,10,7,1,4000,450, , , , , , ,50,4450,4450,4500,1,387.141760755753
2024,09,1811901,1,0026,1,1,20240918119011002612,1,2,6,1,2, ,2,67,2,2,13,6,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,1,6, , ,2,4,2, ,2, ,2, ,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,316.216277096332
2024,09,1811901,1,0028,1,1,20240918119011002811,1,1,1,1,2, ,1,19,1,1,21,2,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , , , ,1,360.021040466391
2024,09,1811901,1,0030,1,1,20240918119011003011,1,1,1,1,1, ,1,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2024,09,1811901,1,0030,1,1,20240918119011003012,1,2,2,1,2, ,2,38,2,2,14,8,1986,1, , , , , , , , , , , , , , , ,5243,4791,2, ,2,2,1,1,0,0,4,4,2,6,4,20, ,20,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , ,380, , , , , , ,380,380,380,1,387.141760755753
2024,09,1811901,1,0030,1,1,20240918119011003013,1,3,3,1,2, ,2,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,09,1811901,1,0030,1,1,20240918119011003014,1,4,3,1,2, ,1,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,09,1812201,1,0031,1,1,20240918122011003111,1,1,1,1,2, ,1,60,1,1,24,7,1964,1, , , , , , , , , , , , , , , ,2131,7120,3,5,1, ,4,400,0,8,8,8,8,8,4,44, ,44,1, ,2, ,2,2,4,6000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,6000, , , , , , , ,1001,6000,6000,7001,1,307.026960321533
2024,09,1812201,1,0031,1,1,20240918122011003112,1,2,2,1,1, ,2,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2024,09,1812201,1,0032,1,1,20240918122011003211,1,1,1,1,2, ,2,65,1,1,16,9,1958,1, , , , , , , , , , , , , , , ,4417,2100,3,5,1, ,5,600,0,8,8,8,0,8,0,32, ,32,1, ,2, ,2,2,4,2500, , , , , , , , , , , , , , ,2,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,2500, , , , , , , ,334,2500,2500,2834,1,282.323930841191
