ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C300n,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,periodo,factor_expansion,factor_ajustado,grupo_edad,es_informal
2025,4,26524,1,1,1,Lima Metropolitana,202501265241000112,1,2,Esposo/a o compañero/a,1,2,,Hombre,72.0,2,10.0,4.0,1953.0,1,,,,,,,,,,,,,,,2,,1142.0,5610.0,Empleador o patrono,,,,5,801.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,36.0,,36.0,1,,2,,2,2,,,,70000.0,,,,,,,,,,,,,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,Secundaria completa,5,,2,2,2,2,2,2,10,8,Ocupado,,,70000,,,,,,,70000.0,70000.0,70000,1,2025-Q2,829.814382348452,138.30239705807534,65+,0
2025,3,29555,1,15,1,Lima Metropolitana,202503295551001512,,2,Esposo/a o compañero/a,1,2,,Mujer,60.0,2,5.0,1.0,1965.0,1,,,,,,,,,,,,,,,2,,1131.0,2100.0,Empleado u obrero,,,,4,250.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0,37.0,,40.0,2,40,2,,2,2,4,43970,,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,Maestria/Doctorado,2,,2,2,2,2,2,2,10,7,Ocupado,43970.0,,,,,,,,,43970.0,43970.0,43970,1,2025-Q2,799.005741360619,133.16762356010318,55-64,0
2025,4,17938,1,45,1,Lima Metropolitana,202401179381004511,1,1,Jefe/a,1,2,,Hombre,62.0,1,2.0,10.0,1962.0,1,,,,,,,,,,,,,,,1,,3314.0,7911.0,Empleado u obrero,,,,4,400.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,24.0,11.0,65.0,2,65,2,,2,2,4,20000,300.0,,,6000,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,Maestria/Doctorado,2,,2,2,2,2,2,2,10,7,Ocupado,20000.0,25,,,6000.0,,,,7500,26025.0,20025.0,33525,1,2025-Q2,440.35565191934,73.39260865322333,55-64,0
2025,3,25321,1,138,1,Lima Metropolitana,202403253211013811,1,1,Jefe/a,1,2,,Hombre,57.0,1,1.0,3.0,1968.0,1,,,,,,,,,,,,,,,1,,2142.0,8413.0,Empleado u obrero,,,,5,9998.0,0.0,13.0,13.0,13.0,13.0,13.0,0.0,65.0,6.0,71.0,1,,2,,2,2,4,16000,,,,12000,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,Maestria/Doctorado,2,,1,2,2,2,2,2,10,7,Ocupado,16000.0,,,,12000.0,,,,,28000.0,16000.0,28000,1,2025-Q2,997.905196222709,166.31753270378485,55-64,0
2025,5,2653302,1,51,1,Lima Metropolitana,20250526533021005112,1,2,Esposo/a o compañero/a,1,2,,Hombre,58.0,1,26.0,9.0,1966.0,1,,,,,,,,,,,,,,,2,,2142.0,4100.0,Empleado u obrero,,,,3,100.0,0.0,10.0,10.0,10.0,10.0,10.0,5.0,55.0,,55.0,1,,1,1,1,2,4,20000,450.0,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,Superior universitaria completa,5,,2,2,2,2,2,2,10,7,Ocupado,20000.0,450,,,,,,,5001,20450.0,20450.0,25451,1,2025-Q2,885.922836606185,147.65380610103082,55-64,0
2025,5,26722,2,55,1,Lima Metropolitana,202505267222005512,1,2,Esposo/a o compañero/a,1,2,,Mujer,62.0,2,26.0,9.0,1962.0,1,,,,,,,,,,,,,,,2,,4110.0,4290.0,Empleado u obrero,,,,5,1100.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,50.0,,50.0,1,,2,,2,2,4,20000,,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,Superior universitaria completa,5,,2,2,2,2,2,2,10,6,Ocupado,20000.0,,,,,,,,5001,20000.0,20000.0,25001,1,2025-Q2,681.974438816463,113.6624064694105,55-64,0
2025,4,2626601,1,35,1,Lima Metropolitana,20240426266011003511,1,1,Jefe/a,1,2,,Mujer,57.0,1,30.0,8.0,1967.0,1,,,,,,,,,,,,,,,1,,4110.0,2100.0,Empleado u obrero,,,,2,50.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,2,,2,2,4,15000,50.0,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,Superior universitaria completa,5,,2,2,2,2,2,2,10,7,Ocupado,15000.0,217,,,,,,,5250,15217.0,15217.0,20467,1,2025-Q2,779.730590037922,129.95509833965366,55-64,0
2025,5,25262,1,100,1,Lima Metropolitana,202405252621010011,1,1,Jefe/a,1,2,,Hombre,53.0,1,22.0,8.0,1971.0,1,,,,,,,,,,,,,,,1,,2146.0,729.0,Empleado u obrero,,,,5,750.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,30.0,,30.0,1,,2,,2,2,4,11300,1100.0,,,,,,,,,,,,,,1,3,1,1,2,,1,2,2,,2,,2,,2,,2,,1,1,2,,2,,2,,Superior universitaria completa,5,,2,2,2,2,2,2,10,7,Ocupado,11300.0,1100,,,,,,,6625,12400.0,12400.0,19025,1,2025-Q2,1480.11364209984,246.68560701664,45-54,0
2025,5,2627701,1,12,1,Lima Metropolitana,20240826277011001212,1,2,Esposo/a o compañero/a,1,2,,Hombre,49.0,2,31.0,3.0,1976.0,1,,,,,,,,,,,,,,,2,,1499.0,6201.0,Empleado u obrero,,,,2,30.0,0.0,8.0,8.0,8.0,0.0,8.0,0.0,32.0,,40.0,2,40,2,,2,2,4,15000,,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,Superior universitaria completa,5,,2,2,2,2,2,2,10,7,Ocupado,15000.0,,,,,,,,3750,15000.0,15000.0,18750,1,2025-Q2,849.105264417926,141.51754406965435,45-54,0
2025,5,2734402,1,48,1,Lima Metropolitana,20240227344021004811,1,1,Jefe/a,1,2,,Hombre,51.0,1,7.0,2.0,1974.0,1,,,,,,,,,,,,,,,1,,4110.0,6920.0,Empleado u obrero,,,,2,25.0,0.0,8.0,8.0,8.0,0.0,8.0,0.0,32.0,,40.0,2,40,2,,2,2,4,15000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,Superior universitaria completa,5,,2,2,2,2,2,2,10,7,Ocupado,15000.0,,,,,,,,3750,15000.0,15000.0,18750,1,2025-Q2,913.47609125995,152.24601520999167,45-54,0
