ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,factor_expansion
2025,1,18325,1,11,1,1,202501183251001111,1,1,1,1,2.0,,1,47,1,1,12,6,1977,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,1.0,1.0,7.0,,,1,5,2,,2,,2,,2,,1,5.0,2,,2,,2,,2,,2,,2,,2,,1,,,2,2,1,2,2,2,13,9,3,,,,,,,,,,,,,1,355.262371511424
2025,1,18325,1,15,1,1,202501183251001511,1,1,1,1,2.0,,1,80,1,1,2,6,1944,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,1.0,1.0,7.0,,,1,5,2,,2,,2,,2,,1,5.0,2,,2,,2,,2,,2,,2,,2,,5,1.0,,2,2,2,2,2,2,10,7,3,,,,,,,,,,,,,1,355.262371511424
2025,1,18338,1,43,1,1,202501183381004311,1,1,1,1,2.0,,2,74,1,1,12,8,1950,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,2.0,2.0,6.0,,,1,5,2,,2,,2,,2,,1,5.0,2,,2,,2,,2,,2,,2,,2,,4,5.0,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,312.399191732795
2025,1,18338,1,44,1,1,202501183381004411,1,1,1,1,2.0,,1,48,1,1,8,2,1976,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,1.0,1.0,13.0,5.0,2.0,1,6,2,,2,,2,,2,,2,,2,,2,,2,,1,5.0,2,,2,,2,,6,5.0,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,346.503639741804
2025,1,18411,1,56,1,1,202501184111005611,1,1,1,1,2.0,,2,70,1,1,8,5,1954,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,2.0,2.0,7.0,,,1,5,2,,2,,2,,2,,1,5.0,2,,2,,2,,2,,2,,2,,2,,6,5.0,,2,2,2,2,2,2,10,6,4,,,,,,,,,,,,,1,326.591133054201
2025,1,18411,1,56,1,1,202501184111005612,1,2,2,1,2.0,,1,63,2,2,12,6,1961,1,,,,,,,,,,,,,,,,5414.0,8010.0,3.0,4.0,1.0,,5.0,1200.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,72.0,,72.0,1.0,,2.0,,2.0,2.0,4.0,1500.0,,,,,,,,,,,,,,,1,1,1,1.0,2,,2,,2,,2,,2,,2,,2,,1,1.0,2,,2,,2,,6,5.0,,2,2,2,2,2,2,10,5,1,1500.0,,,,,,,,375.0,1500.0,1500.0,1875.0,1,362.244907494749
2025,1,18411,1,56,1,1,202501184111005614,1,3,3,1,2.0,,2,17,3,3,14,9,2007,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,1.0,1.0,12.0,,2.0,2,1,1,4.0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5.0,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,388.153214762262
2025,1,17924,2,25,1,1,202501179242002511,1,1,1,1,2.0,,1,31,1,1,14,5,1993,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,2.0,2.0,11.0,,,1,3,1,2.0,2,,1,2.0,2,,2,,2,,2,,2,,1,5.0,2,,2,,2,,11,5.0,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,568.378426138578
2025,1,17596,1,63,1,1,202501175961006311,1,1,1,1,2.0,,2,60,1,1,19,8,1964,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,2.0,2.0,7.0,,,1,5,2,,2,,2,,2,,1,5.0,2,,2,,2,,2,,2,,2,,2,,6,5.0,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,312.100930614217
2025,1,17596,1,65,1,1,202501175961006511,1,1,1,1,2.0,,1,28,1,1,19,3,1996,2,1.0,,,,,,,,,,,,,,,4110.0,8510.0,3.0,5.0,1.0,,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,40.0,2.0,40.0,2.0,,2.0,2.0,4.0,1500.0,,,,,,,,,,,,,,,1,1,1,1.0,2,,2,,2,,2,,2,,2,,2,,2,,1,1.0,2,,2,,8,1.0,,2,2,2,2,2,2,10,7,1,1500.0,,,,,,,,313.0,1500.0,1500.0,1813.0,1,414.941985901971
