ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,factor_expansion
2024,7,18098,2,53,1,1,202407180982005311,1,1,1,1,2,,2,40,1,1,15.0,8.0,1983,1,,,,,,,,,,,,,,,,5212.0,4711.0,2,,2,2,1,2.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,105.0,,105.0,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,9,1,,,1440,300.0,,,,,,1740.0,1740.0,1740,1,639.513298151535
2024,7,18098,2,53,1,1,202407180982005312,1,2,3,1,2,,2,16,2,2,8.0,7.0,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,624.500422514991
2024,7,18098,2,53,1,1,202407180982005313,1,3,3,1,2,,2,14,3,3,14.0,5.0,2010,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,5223.0,4711.0,4,,2,2,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,1,,2,,,,,,,,,,,,,2,4,2,2,5,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,1,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,624.500422514991
2024,7,18098,2,54,1,1,202407180982005411,1,1,1,1,2,,2,78,1,1,12.0,8.0,1945,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,503.759982166037
2024,7,18098,2,55,1,1,202407180982005511,1,1,1,1,2,,1,42,1,1,24.0,5.0,1982,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,4,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,,6,2,2,2,2,1,2,10,9,4,,,,,,,,,,,,,1,642.732151912916
2024,7,18098,2,199,1,1,202407180982019911,1,1,1,1,2,,1,70,1,1,6.0,11.0,1953,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,7,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,5,3,,2,2,2,2,2,2,10,3,4,,,,,,,,,,,,,1,573.874501391359
2024,7,18098,2,199,1,1,202407180982019912,1,2,2,1,2,,2,67,2,2,23.0,3.0,1957,1,,,,,,,,,,,,,,,,9321.0,1410.0,3,5,2,2,1,7.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,20.0,,25.0,2,25,1,1,1,2,2,250,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,1083.0,,,,,,,,,1083.0,1083.0,1083,1,503.759982166037
2024,7,1812602,1,5,1,1,20240718126021000511,1,1,1,1,2,,2,68,1,1,16.0,2.0,1956,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,3,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,309.251301434454
2024,7,1812602,1,6,1,1,20240718126021000611,1,1,1,1,2,,2,30,1,1,6.0,1.0,1994,1,,,,,,,,,,,,,,,,4417.0,8530.0,3,2,,,5,998.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,2,,2,2,4,4000,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,11,6,,2,2,2,2,2,2,10,7,1,4000.0,,,,,,,,,4000.0,4000.0,4000,1,392.58838879508
2024,7,1812602,1,6,1,1,20240718126021000612,1,2,6,1,2,,1,67,2,2,4.0,8.0,1956,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,6,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,2,,10,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,352.29363724416
2024,7,1812602,1,6,1,1,20240718126021000613,1,3,6,1,2,,2,62,3,3,31.0,8.0,1961,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,309.251301434454
2024,7,1812602,1,6,1,1,20240718126021000614,1,4,8,1,2,,1,94,4,1,5.0,1.0,1930,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,7,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,4,5,,2,2,2,2,1,2,10,9,4,,,,,,,,,,,,,1,352.29363724416
2024,7,1812602,1,7,1,1,20240718126021000711,1,1,1,1,2,,2,49,1,1,3.0,9.0,1974,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,1,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,6,3,,,,,,,,,,,,,1,309.251301434454
2024,7,1812602,1,7,1,1,20240718126021000712,1,2,3,1,2,,2,19,2,2,26.0,8.0,2004,1,,,,,,,,,,,,,,,,9333.0,7830.0,3,4,1,,5,600.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,48.0,,48.0,1,,2,,2,2,4,1025,,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1025.0,,,,,,,,25,1025.0,1025.0,1050,1,383.372191611428
2024,7,17886,2,129,1,1,202407178862012911,1,1,1,1,2,,1,70,1,1,15.0,3.0,1954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,4,2,,2,,2,,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,9,3,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,526.474838294035
2024,7,17886,2,129,1,1,202407178862012912,1,2,5,1,2,,1,24,2,2,14.0,12.0,1999,1,,,,,,,,,,,,,,,,5329.0,8010.0,3,4,1,,3,100.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,18.0,,18.0,1,,2,,2,2,2,300,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,10,3,,2,2,2,2,2,2,10,7,1,1299.0,,,,,,,,,1299.0,1299.0,1299,1,534.603723023728
2024,7,17336,1,65,1,1,202407173361006511,1,1,1,1,2,,1,67,1,1,29.0,5.0,1957,1,,,,,,,,,,,,,,,,9111.0,9700.0,6,,,,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,,8.0,1,,1,1,1,1,2,60,10.0,,,,,,,,,,,,,,1,1,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,6,1,260.0,43,,,,,,,,303.0,303.0,303,1,359.981286718772
2024,7,17336,1,65,1,1,202407173361006513,1,2,3,1,2,,1,43,2,2,27.0,12.0,1980,1,,,,,,,,,,,,,,,,7514.0,1050.0,3,5,1,,5,2000.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,48.0,,48.0,1,,1,1,1,1,3,500,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1000.0,,,,,,,,609,1000.0,1000.0,1609,1,403.174468459875
2024,7,17336,1,69,1,1,202407173361006911,1,1,1,1,2,,1,47,1,1,16.0,11.0,1976,1,,,,,,,,,,,,,,,,4416.0,2220.0,3,5,1,,4,110.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,48.0,15.0,63.0,1,,2,,2,2,2,710,,,,,,800.0,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,1,1,1,3074.0,,,,,800,,,1182,3874.0,3074.0,5056,1,359.981286718772
2024,7,17336,1,69,1,1,202407173361006912,1,2,2,1,2,,2,31,2,2,15.0,8.0,1992,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,6,5,,2,2,2,2,2,2,1,6,4,,,,,,,,,,,,,1,401.155338639728
2024,7,17336,1,73,1,1,202407173361007311,1,1,1,1,2,,1,47,1,1,25.0,12.0,1976,1,,,,,,,,,,,,,,,,4416.0,4922.0,3,5,1,,3,55.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,2,,2,2,4,2000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,6,5,,2,2,2,2,2,2,1,1,1,2000.0,,,,,,,,609,2000.0,2000.0,2609,1,359.981286718772
2024,7,17336,1,73,1,1,202407173361007312,1,2,2,1,2,,2,41,2,2,21.0,6.0,1983,1,,,,,,,,,,,,,,,,9112.0,4922.0,3,5,1,,1,20.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,2,,2,2,4,1200,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,9,1,1200.0,,,,,,,,,1200.0,1200.0,1200,1,401.155338639728
2024,7,17336,1,73,1,1,202407173361007313,1,3,3,1,2,,1,19,3,3,8.0,12.0,2004,1,,,,,,,,,,,,,,,,9621.0,4649.0,3,5,1,,1,12.0,0.0,10.0,10.0,10.0,12.0,10.0,9.0,61.0,,61.0,1,,2,,2,2,3,510,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,1020.0,,,,,,,,,1020.0,1020.0,1020,1,365.539475205169
2024,7,17347,1,131,1,1,202407173471013111,1,1,1,1,2,,1,56,1,1,6.0,9.0,1967,1,,,,,,,,,,,,,,,,5212.0,4711.0,4,,2,2,1,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,56.0,,56.0,1,,2,,2,,,,,,,,,,,,,,,,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,,,,,,,,,,1,658.009396275891
2024,7,17347,1,131,1,1,202407173471013112,1,2,2,1,2,,2,59,2,2,29.0,3.0,1965,1,,,,,,,,,,,,,,,,5212.0,4711.0,2,,2,2,1,3.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,48.0,,48.0,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,1,1,1,,,2420,600.0,,,,,,3020.0,3020.0,3020,1,577.615490720284
2024,7,17347,1,131,1,1,202407173471013113,1,3,3,1,2,,1,17,3,3,17.0,5.0,2007,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,5223.0,4711.0,4,,2,2,1,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,,,1,,2,,,,,,,,,,,,,2,4,2,1,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,668.169202869334
