ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,factor_expansion
2025,4,26524,1,1,1,1,202501265241000112,1.0,2,2,1,2,,1,72,2,2,10,4,1953,1,,,,,,,,,,,,,,,,1142,5610,1,,1.0,,5,801,0,6,6,6,6,6,6,36,,36,1,,2,,2,2,,,,70000.0,,,,,,,,,,,,,1,1,1,2.0,2,,2,,2,,2,,2,,2,,2,,2,,1,2.0,2,,2,,6,5,,2,2,2,2,2,2,10,8,1,,,70000.0,,,,,,,70000,70000,70000,1,829.814382348452
2025,3,29555,1,15,1,1,202503295551001512,,2,2,1,2,,2,60,2,2,5,1,1965,1,,,,,,,,,,,,,,,,1131,2100,3,5.0,1.0,,4,250,0,8,8,8,8,5,0,37,,40,2,40.0,2,,2,2,4.0,43970.0,,,,,,,,,,,,,,,1,3,1,1.0,2,,1,1.0,2,,2,,2,,2,,2,,1,1.0,2,,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,43970.0,,,,,,,,,43970,43970,43970,1,799.005741360619
2025,4,17938,1,45,1,1,202401179381004511,1.0,1,1,1,2,,1,62,1,1,2,10,1962,1,,,,,,,,,,,,,,,,3314,7911,3,5.0,1.0,,4,400,0,8,8,8,0,0,0,24,11.0,65,2,65.0,2,,2,2,4.0,20000.0,300.0,,,6000.0,,,,,,,,,,,1,3,1,1.0,2,,1,1.0,2,,2,,2,,2,,2,,1,1.0,2,,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,20000.0,25.0,,,6000.0,,,,7500.0,26025,20025,33525,1,440.35565191934
2025,3,25321,1,138,1,1,202403253211013811,1.0,1,1,1,2,,1,57,1,1,1,3,1968,1,,,,,,,,,,,,,,,,2142,8413,3,2.0,,,5,9998,0,13,13,13,13,13,0,65,6.0,71,1,,2,,2,2,4.0,16000.0,,,,12000.0,,,,,,,,,,,1,1,1,1.0,2,,2,,2,,2,,2,,2,,2,,1,1.0,2,,2,,2,,12,2,,1,2,2,2,2,2,10,7,1,16000.0,,,,12000.0,,,,,28000,16000,28000,1,997.905196222709
2025,5,2653302,1,51,1,1,20250526533021005112,1.0,2,2,1,2,,1,58,2,1,26,9,1966,1,,,,,,,,,,,,,,,,2142,4100,3,5.0,1.0,,3,100,0,10,10,10,10,10,5,55,,55,1,,1,1.0,1,2,4.0,20000.0,450.0,,,,,,,,,,,,,,1,3,1,1.0,2,,1,1.0,2,,2,,2,,2,,2,,1,1.0,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,20000.0,450.0,,,,,,,5001.0,20450,20450,25451,1,885.922836606185
2025,5,26722,2,55,1,1,202505267222005512,1.0,2,2,1,2,,2,62,2,2,26,9,1962,1,,,,,,,,,,,,,,,,4110,4290,3,5.0,1.0,,5,1100,0,10,10,10,10,10,0,50,,50,1,,2,,2,2,4.0,20000.0,,,,,,,,,,,,,,,1,3,1,1.0,2,,1,1.0,2,,2,,2,,2,,2,,1,1.0,2,,2,,2,,11,5,,2,2,2,2,2,2,10,6,1,20000.0,,,,,,,,5001.0,20000,20000,25001,1,681.974438816463
2025,4,2626601,1,35,1,1,20240426266011003511,1.0,1,1,1,2,,2,57,1,1,30,8,1967,1,,,,,,,,,,,,,,,,4110,2100,3,5.0,1.0,,2,50,0,8,8,8,8,8,0,40,,40,1,,2,,2,2,4.0,15000.0,50.0,,,,,,,,,,,,,,1,3,1,1.0,2,,1,1.0,2,,2,,2,,2,,2,,1,1.0,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,15000.0,217.0,,,,,,,5250.0,15217,15217,20467,1,779.730590037922
2025,5,25262,1,100,1,1,202405252621010011,1.0,1,1,1,2,,1,53,1,1,22,8,1971,1,,,,,,,,,,,,,,,,2146,729,3,5.0,1.0,,5,750,10,10,10,0,0,0,0,30,,30,1,,2,,2,2,4.0,11300.0,1100.0,,,,,,,,,,,,,,1,3,1,1.0,2,,1,2.0,2,,2,,2,,2,,2,,1,1.0,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,11300.0,1100.0,,,,,,,6625.0,12400,12400,19025,1,1480.11364209984
2025,5,2627701,1,12,1,1,20240826277011001212,1.0,2,2,1,2,,1,49,2,2,31,3,1976,1,,,,,,,,,,,,,,,,1499,6201,3,5.0,1.0,,2,30,0,8,8,8,0,8,0,32,,40,2,40.0,2,,2,2,4.0,15000.0,,,,,,,,,,,,,,,1,3,1,1.0,2,,1,1.0,2,,2,,2,,2,,2,,1,1.0,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,15000.0,,,,,,,,3750.0,15000,15000,18750,1,849.105264417926
2025,5,2734402,1,48,1,1,20240227344021004811,1.0,1,1,1,2,,1,51,1,1,7,2,1974,1,,,,,,,,,,,,,,,,4110,6920,3,5.0,1.0,,2,25,0,8,8,8,0,8,0,32,,40,2,40.0,2,,2,2,4.0,15000.0,,,,,,,,,,,,,,,1,1,1,1.0,2,,2,,2,,2,,2,,2,,2,,1,1.0,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,15000.0,,,,,,,,3750.0,15000,15000,18750,1,913.47609125995
