anio,mes,conglomerado,muestra,selviv,hogar,region,llave_panel,estrato,c201,c203,c204,c205,c206,c207,c208,nroinf,c301_dia,c301_mes,c301_anio,c303,c304,c305,c306_1,c306_2,c306_3,c306_4,c306_5,c306_6,c306_7,c306_8,c306_9,c306_10,c306_10a,c306_11,c300n,c306a,c308_cod,c309_cod,c310,c311,c312,c313,c317,c317a,c318_1,c318_2,c318_3,c318_4,c318_5,c318_6,c318_7,c318_t,c328_t,whorat,c330,c331,c333,c334,p209h,c335,c338,c339_1,c341_t,c342,c344,c345_1,c347_t,c348,c350,c352,c353,c354,c355,c356,c357_i,c358,c359,seguro1,c361_1,c362_1,c361_2,c362_2,c361_3,c362_3,c361_4,c362_4,c361_5,c362_5,c361_6,c362_6,c361_7,c362_7,c361_8,c362_8,c364_1,c365_1,c364_2,c365_2,c364_3,c365_3,c364_4,c365_4,c366,c366_1,c366_2,c375_1,c375_2,c375_3,c375_4,c375_5,c375_6,c376,c377,ocup300,i339_1,d341_t,i342,d344,i345_1,i348,d347_t,d350,d351_t,ingtot,ingtotp,ingtrabw,resident,factor_expansion,trimestre,fa_amj24,fa_efm24,fa_jas24,fa_efm25,fa_son24,grupo_edad,tiene_seguro,nivel_educativo_agrupado
2025,4,26524,1,1,1,1,202501265241000112,1,2,2,1,2, ,1,72.0,2,10.0,4.0,1953.0,1,,, , , , , , , , , , , , ,2, ,1142.0,5610.0,1, ,1, ,5,801.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,36.0,,36.0,1,,2, ,2,2, ,,,70000.0, ,, ,, , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,2,2, ,2, ,6,5, ,2,2,2,2,2,2,10,8,1,, ,70000.0,,,,,, ,70000.0,70000.0,70000.0,1,829.814382348452,2025_MarAbrMay,,,,,,60+,1,Secundaria
2025,3,29555,1,15,1,1,202503295551001512, ,2,2,1,2, ,2,60.0,2,5.0,1.0,1965.0,1,,, , , , , , , , , , , , ,2, ,1131.0,2100.0,3,5,1, ,4,250.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0,37.0,,40.0,2,40.0,2, ,2,2,4,43970.0,,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,1,43970.0, ,,,,,,, ,43970.0,43970.0,43970.0,1,799.005741360619,2025_MarAbrMay,,,,,,60+,1,Postgrado
2025,4,17938,1,45,1,1,202401179381004511,1,1,1,1,2, ,1,62.0,1,2.0,10.0,1962.0,1,,, , , , , , , , , , , , ,1, ,3314.0,7911.0,3,5,1, ,4,400.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,24.0,11.0,65.0,2,65.0,2, ,2,2,4,20000.0,300.0,, ,6000.0, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,1,20000.0,25,,,6000.0,,,,7500,26025.0,20025.0,33525.0,1,440.35565191934,2025_MarAbrMay,,,,,,60+,1,Postgrado
2025,3,25321,1,138,1,1,202403253211013811,1,1,1,1,2, ,1,57.0,1,1.0,3.0,1968.0,1,,, , , , , , , , , , , , ,1, ,2142.0,8413.0,3,2, , ,5,9998.0,0.0,13.0,13.0,13.0,13.0,13.0,0.0,65.0,6.0,71.0,1,,2, ,2,2,4,16000.0,,, ,12000.0, ,, , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,2, ,1,2,2,2,2,2,10,7,1,16000.0, ,,,12000.0,,,, ,28000.0,16000.0,28000.0,1,997.905196222709,2025_MarAbrMay,,,,,,40-59,1,Postgrado
2025,5,2653302,1,51,1,1,20250526533021005112,1,2,2,1,2, ,1,58.0,1,26.0,9.0,1966.0,1,,, , , , , , , , , , , , ,2, ,2142.0,4100.0,3,5,1, ,3,100.0,0.0,10.0,10.0,10.0,10.0,10.0,5.0,55.0,,55.0,1,,1,1,1,2,4,20000.0,450.0,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,20000.0,450,,,,,,,5001,20450.0,20450.0,25451.0,1,885.922836606185,2025_MarAbrMay,,,,,,40-59,1,Superior Univ.
2025,5,26722,2,55,1,1,202505267222005512,1,2,2,1,2, ,2,62.0,2,26.0,9.0,1962.0,1,,, , , , , , , , , , , , ,2, ,4110.0,4290.0,3,5,1, ,5,1100.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,50.0,,50.0,1,,2, ,2,2,4,20000.0,,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,6,1,20000.0, ,,,,,,,5001,20000.0,20000.0,25001.0,1,681.974438816463,2025_MarAbrMay,,,,,,60+,1,Superior Univ.
2025,4,2626601,1,35,1,1,20240426266011003511,1,1,1,1,2, ,2,57.0,1,30.0,8.0,1967.0,1,,, , , , , , , , , , , , ,1, ,4110.0,2100.0,3,5,1, ,2,50.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,2, ,2,2,4,15000.0,50.0,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,15000.0,217,,,,,,,5250,15217.0,15217.0,20467.0,1,779.730590037922,2025_MarAbrMay,,,,,,40-59,1,Superior Univ.
2025,5,25262,1,100,1,1,202405252621010011,1,1,1,1,2, ,1,53.0,1,22.0,8.0,1971.0,1,,, , , , , , , , , , , , ,1, ,2146.0,729.0,3,5,1, ,5,750.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,30.0,,30.0,1,,2, ,2,2,4,11300.0,1100.0,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,2,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,11300.0,1100,,,,,,,6625,12400.0,12400.0,19025.0,1,1480.11364209984,2025_MarAbrMay,,,,,,40-59,1,Superior Univ.
2025,5,2627701,1,12,1,1,20240826277011001212,1,2,2,1,2, ,1,49.0,2,31.0,3.0,1976.0,1,,, , , , , , , , , , , , ,2, ,1499.0,6201.0,3,5,1, ,2,30.0,0.0,8.0,8.0,8.0,0.0,8.0,0.0,32.0,,40.0,2,40.0,2, ,2,2,4,15000.0,,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,15000.0, ,,,,,,,3750,15000.0,15000.0,18750.0,1,849.105264417926,2025_MarAbrMay,,,,,,40-59,1,Superior Univ.
2025,5,2734402,1,48,1,1,20240227344021004811,1,1,1,1,2, ,1,51.0,1,7.0,2.0,1974.0,1,,, , , , , , , , , , , , ,1, ,4110.0,6920.0,3,5,1, ,2,25.0,0.0,8.0,8.0,8.0,0.0,8.0,0.0,32.0,,40.0,2,40.0,2, ,2,2,4,15000.0,,, ,, ,, , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,15000.0, ,,,,,,,3750,15000.0,15000.0,18750.0,1,913.47609125995,2025_MarAbrMay,,,,,,40-59,1,Superior Univ.
